;epsilon;min_size;score;nb_clusters;var_portion
124;0.05;5.0;-0.2543391227657418;9.0;0.65
3;0.05;5.0;-0.2543391227657418;9.0;0.6
17;0.07;6.0;-0.18660568660044788;9.0;0.6
630;0.23000000000000004;4.0;-0.2842777725554057;8.0;0.8500000000000002
589;0.31000000000000005;2.0;0.1172508265234944;8.0;0.8000000000000002
647;0.26000000000000006;4.0;-0.21023632576487641;8.0;0.8500000000000002
661;0.28;4.0;-0.08328792098884584;8.0;0.8500000000000002
592;0.34;2.0;0.13437907994015932;8.0;0.8000000000000002
591;0.33;2.0;0.12463303662853048;8.0;0.8000000000000002
437;0.25000000000000006;5.0;-0.1495847159747763;8.0;0.7500000000000001
614;0.18000000000000005;3.0;-0.35456837769932004;8.0;0.8500000000000002
26;0.08000000000000002;7.0;-0.17519650595839933;8.0;0.6
305;0.19;5.0;-0.10048732127839671;8.0;0.7000000000000001
312;0.2;6.0;-0.11395396287392814;8.0;0.7000000000000001
147;0.08000000000000002;7.0;-0.17519650595839933;8.0;0.65
441;0.26000000000000006;4.0;-0.06405447997106015;8.0;0.7500000000000001
51;0.12000000000000001;3.0;-0.023414403642328933;8.0;0.6
590;0.32000000000000006;2.0;0.12185317082664032;8.0;0.8000000000000002
290;0.17000000000000004;5.0;-0.13239118616668408;8.0;0.7000000000000001
303;0.19;3.0;-0.08324542289875934;8.0;0.7000000000000001
344;0.26000000000000006;2.0;0.04234579158831337;8.0;0.7000000000000001
353;0.29000000000000004;2.0;0.03768528389655169;8.0;0.7000000000000001
375;0.1;2.0;-0.3698561696894144;8.0;0.7500000000000001
763;0.32000000000000006;3.0;-0.19696700672671483;8.0;0.9000000000000002
738;0.27;3.0;-0.30793305915017966;8.0;0.9000000000000002
811;0.4100000000000001;2.0;-0.04008956558081962;8.0;0.9000000000000002
65;0.14;3.0;0.01287389055613993;8.0;0.6
167;0.11000000000000001;4.0;-0.13110521104407932;8.0;0.65
46;0.11000000000000001;4.0;-0.13110521104407932;8.0;0.6
168;0.11000000000000001;5.0;-0.08700889297491138;8.0;0.65
557;0.26000000000000006;4.0;-0.06405447997106015;8.0;0.8000000000000002
553;0.25000000000000006;5.0;-0.1495847159747763;8.0;0.8000000000000002
491;0.1;2.0;-0.3698561696894144;8.0;0.8000000000000002
172;0.12000000000000001;3.0;-0.023414403642328933;8.0;0.65
703;0.37000000000000005;2.0;-0.0826168293162815;8.0;0.8500000000000002
174;0.12000000000000001;5.0;-0.05672913339777303;8.0;0.65
732;0.25000000000000006;3.0;-0.3333690837990693;8.0;0.9000000000000002
186;0.14;3.0;0.01287389055613993;8.0;0.65
721;0.2;2.0;-0.38598592731700293;8.0;0.9000000000000002
476;0.34;2.0;0.13437907994015932;8.0;0.7500000000000001
498;0.14;3.0;-0.350661820410057;8.0;0.8000000000000002
475;0.33;2.0;0.12463303662853048;8.0;0.7500000000000001
382;0.14;3.0;-0.350661820410057;8.0;0.7500000000000001
53;0.12000000000000001;5.0;-0.05672913339777303;8.0;0.6
474;0.32000000000000006;2.0;0.12185317082664032;8.0;0.7500000000000001
807;0.4000000000000001;2.0;-0.09060061685419667;8.0;0.9000000000000002
47;0.11000000000000001;5.0;-0.08700889297491138;8.0;0.6
261;0.12000000000000001;5.0;-0.2774873061882338;8.0;0.7000000000000001
626;0.22000000000000003;4.0;-0.2998579610430535;8.0;0.8500000000000002
473;0.31000000000000005;2.0;0.1172508265234944;8.0;0.7500000000000001
248;0.08000000000000002;3.0;-0.295333831788804;8.0;0.7000000000000001
752;0.30000000000000004;4.0;-0.23115004461709865;7.0;0.9000000000000002
400;0.19;5.0;-0.2569575874414702;7.0;0.7500000000000001
730;0.24000000000000005;3.0;-0.35039087523488255;7.0;0.9000000000000002
148;0.08000000000000002;8.0;-0.1845544024797234;7.0;0.65
179;0.13;3.0;0.00031830282052005925;7.0;0.65
10;0.060000000000000005;6.0;-0.2398342078917658;7.0;0.6
442;0.26000000000000006;5.0;-0.06816010128185576;7.0;0.7500000000000001
347;0.27;2.0;0.05286187011024314;7.0;0.7000000000000001
416;0.22000000000000003;5.0;-0.2138521644360006;7.0;0.7500000000000001
88;0.19;2.0;-0.045892686168605014;7.0;0.6
764;0.32000000000000006;4.0;-0.20590509537791243;7.0;0.9000000000000002
623;0.21000000000000002;4.0;-0.3177071546471726;7.0;0.8500000000000002
631;0.23000000000000004;5.0;-0.29580553036475593;7.0;0.8500000000000002
516;0.19;5.0;-0.2569575874414702;7.0;0.8000000000000002
593;0.35000000000000003;2.0;0.13030911745705734;7.0;0.8000000000000002
336;0.24000000000000005;2.0;0.035425901865927756;7.0;0.7000000000000001
27;0.08000000000000002;8.0;-0.1845544024797234;7.0;0.6
356;0.30000000000000004;2.0;0.03608164467027819;7.0;0.7000000000000001
340;0.25000000000000006;2.0;0.037693529308201745;7.0;0.7000000000000001
58;0.13;3.0;0.00031830282052005925;7.0;0.6
765;0.32000000000000006;5.0;-0.2236445926170357;7.0;0.9000000000000002
654;0.27;4.0;-0.21895170180124557;7.0;0.8500000000000002
374;0.09000000000000001;2.0;-0.35024056407202164;7.0;0.7500000000000001
532;0.22000000000000003;5.0;-0.2138521644360006;7.0;0.8000000000000002
562;0.27;3.0;-0.15631879305733215;7.0;0.8000000000000002
771;0.33;3.0;-0.17528204074968115;7.0;0.9000000000000002
131;0.060000000000000005;6.0;-0.2398342078917658;7.0;0.65
285;0.16000000000000003;7.0;-0.12952292216462605;7.0;0.7000000000000001
292;0.17000000000000004;7.0;-0.16240055177136345;7.0;0.7000000000000001
477;0.35000000000000003;2.0;0.13030911745705734;7.0;0.7500000000000001
788;0.35000000000000003;5.0;-0.2086081670597915;7.0;0.9000000000000002
668;0.29000000000000004;3.0;-0.11915151115854457;7.0;0.8500000000000002
318;0.21000000000000002;5.0;-0.07244748866150749;7.0;0.7000000000000001
671;0.29000000000000004;6.0;-0.17808171607175052;7.0;0.8500000000000002
669;0.29000000000000004;4.0;-0.07255310431690525;7.0;0.8500000000000002
422;0.23000000000000004;5.0;-0.17560581440605486;7.0;0.7500000000000001
558;0.26000000000000006;5.0;-0.06816010128185576;7.0;0.8000000000000002
538;0.23000000000000004;5.0;-0.17560581440605486;7.0;0.8000000000000002
209;0.19;2.0;-0.045892686168605014;7.0;0.65
446;0.27;3.0;-0.15631879305733215;7.0;0.7500000000000001
271;0.14;6.0;-0.2653576089949377;7.0;0.7000000000000001
25;0.08000000000000002;6.0;-0.17736832170696198;7.0;0.6
490;0.09000000000000001;2.0;-0.35024056407202164;7.0;0.8000000000000002
304;0.19;4.0;-0.0980036598187162;7.0;0.7000000000000001
146;0.08000000000000002;6.0;-0.17736832170696198;7.0;0.65
620;0.2;4.0;-0.32429445280602415;6.0;0.8500000000000002
66;0.14;4.0;0.012895415630239196;6.0;0.6
380;0.13;3.0;-0.34804942201441996;6.0;0.7500000000000001
612;0.17000000000000004;3.0;-0.3284175196199514;6.0;0.8500000000000002
71;0.15000000000000002;3.0;0.20978975198057306;6.0;0.6
594;0.36000000000000004;2.0;0.15029087326466847;6.0;0.8000000000000002
405;0.2;5.0;-0.2665794005179228;6.0;0.7500000000000001
319;0.21000000000000002;6.0;-0.04297855601983419;6.0;0.7000000000000001
627;0.22000000000000003;5.0;-0.30741000805459906;6.0;0.8500000000000002
192;0.15000000000000002;3.0;0.20978975198057306;6.0;0.65
40;0.1;5.0;-0.05166680001733739;6.0;0.6
478;0.36000000000000004;2.0;0.15029087326466847;6.0;0.7500000000000001
797;0.37000000000000005;3.0;-0.07372350015234726;6.0;0.9000000000000002
52;0.12000000000000001;4.0;-0.0623835678398009;6.0;0.6
813;0.42000000000000004;2.0;-0.10064728597474433;6.0;0.9000000000000002
213;0.2;2.0;0.12013409428592012;6.0;0.65
496;0.13;3.0;-0.34804942201441996;6.0;0.8000000000000002
207;0.18000000000000005;3.0;0.163489565311539;6.0;0.65
202;0.17000000000000004;3.0;0.14914438316806572;6.0;0.65
720;0.19;2.0;-0.34778940693691185;6.0;0.9000000000000002
187;0.14;4.0;0.012895415630239196;6.0;0.65
81;0.17000000000000004;3.0;0.14914438316806572;6.0;0.6
521;0.2;5.0;-0.2665794005179228;6.0;0.8000000000000002
728;0.23000000000000004;3.0;-0.3636527047737878;6.0;0.9000000000000002
86;0.18000000000000005;3.0;0.163489565311539;6.0;0.6
175;0.12000000000000001;6.0;-0.08332724220587806;6.0;0.65
173;0.12000000000000001;4.0;-0.0623835678398009;6.0;0.65
161;0.1;5.0;-0.05166680001733739;6.0;0.65
54;0.12000000000000001;6.0;-0.08332724220587806;6.0;0.6
739;0.27;4.0;-0.29613387833847477;6.0;0.9000000000000002
92;0.2;2.0;0.12013409428592012;6.0;0.6
4;0.05;6.0;-0.20416851952931037;6.0;0.6
253;0.1;4.0;-0.24501822873234227;6.0;0.7000000000000001
786;0.35000000000000003;3.0;-0.10546228758471206;6.0;0.9000000000000002
792;0.36000000000000004;3.0;-0.08708268042209871;6.0;0.9000000000000002
743;0.28;4.0;-0.27274413559854355;6.0;0.9000000000000002
636;0.24000000000000005;5.0;-0.27528533954720386;6.0;0.8500000000000002
